category,period,subject_name,schedule,teacher_name,detail_url,overview
造形文化科目/文化総合科目,通年,哲学,なし,平岡紘准教授、大厩諒講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_5.html,哲学（フィロソフィア）と呼ばれる営みは、おおよそ紀元前六世紀から五世紀にかけて古代ギリシアで生まれました。フィロソフィアというギリシア語は、二つの部分からなる合成語で、「フィロ＝愛し求めること」、「ソフィア＝知」を意味します。哲学とは「知を愛し求めること」であり、そうして求められた結果としての「知」を意味するのではないということに留意してください。往々にして、哲学とは過去の人たちが考えてきたのことの集積であり、それゆえ、哲学を学ぶとは、そうした知識をできるだけたくさん覚えていくことであるかのように思われたりしますが、それは誤解です。哲学という営みがいつ、どこで、どのようなものとしてはじまったのかを振り返ることで、哲学に対するこうしたありがちな誤解を取り除くことが、この科目の概要であり目標です。
造形文化科目/文化総合科目,通年,社会学,なし,小幡正敏教授,https://ccap02.musabi.ac.jp/syllabus/html/2025_6.html,現代社会のあり方と諸問題を、家族・労働・テクノロジー・グローバル化などの具体的な諸テーマにそくして考えてみる。また、近代社会の成立とともに社会学という学問が登場してきた理由や背景についても学ぶ。教科書に書いてあることを機械的に読んでレポートを書くのではなく、自分で調べること、自分で考えることが大切である。そのためには、新聞、雑誌、インターネットなどで情報収集すること、書店や図書館や資料館に出向くこと、現場を歩いてみることなどが不可欠となる。好奇心の旺盛な人向き。
造形文化科目/文化総合科目,通年,経済学,なし,新堂精士講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_7.html,経済学を学ぶ意味はいくつかあるが、市民として経済学を学ぶ意味を考えるのなら以下の 2 つではなかろうか。第一に、現代社会において私達の社会に大きな影響を及ぼすと考えられる「格差・経済成長・デフレ・貧困・失業・貿易摩擦・エネルギー・環境」などの問題の解決には、経済学の知識が必須であること。第二に私達が日常行う様々な意思決定において経済学の考え方が役立つということである。この授業では主に後者、したがって経済学の考え方を学ぶことを目標とする。具体的には日本人の優れた経済学者である宇沢弘文先生が経済学の考え方について書かれた本あるいは過去の偉大な経済学者について森嶋通夫先生をはじめ日本の一流の学者が解説した本を読んでいくことで経済学に固有の考え方の習得を目指す。なお、過去の経済学者の考え方の単なる解釈を問題にしているわけではないことに注意してほしい。過去の経済学者の考え方が実際どうであったのかという観点はそれほど重要ではなくて、現代経済（学）の視点から見て過去の経済学者の評価できる点あるいは、彼らから学べる点を掴もうというのがこの科目の趣旨である。もう少し言えば、過去の経済学者を通して現代経済学の考え方の一部あるいはその思想的背景を学ぼうというのがこの科目の目的であることをしっかり認識して課題に取り組むこと。○学習の到達目標自身が選んだ経済学者あるいは学派の考え方のポイントをおおむね理解する。
造形文化科目/文化総合科目,通年,憲法,なし,志田陽子教授、川口かしみ講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_8.html,この講座では、わたしたちが知っておくべき権利やルールのうち、憲法で保障されている事柄を学ぶ。（著作権法をはじめとする知的財産権の分野については、「著作権法」の講座で学ぶ）。法学系の科目を学習するにあたっては、自分をとりまく社会を、問題意識をもって見ることが出発点となる。そしてその問題意識を、憲法上わたしたちに保障されたさまざまな「人権」や、民主的な政治システムと関連づけて考えることが必要となる。本講座では、具体的な社会問題について考えながら、「法の精神」を生かした思考を実践することをめざす。
造形文化科目/文化総合科目,通年,民俗学,なし,亀井好恵講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_9.html,わたしたちの生活には、古い時代の民俗文化を投影しているものが意外と多い。この科目は、ふだん見過ごしがちな奉納物、年中行事を注意深く観察することで、庶民信仰のあり方や何げなく行っている行事の意味を考えていこうとする。課題で取り上げるような民俗文化は、表面上は新しい様式が主流になったように見えてもその根底には庶民の願いが流れていると考えられ、またある行事が変化するには変化の要因が必ずあると考えられる。そこで、ここではまずは民俗文化の様相に触れることを手初めとし、変容しつつも伝承される民俗文化を考えたい。
造形文化科目/文化総合科目,通年,心理学,なし,荒川歩教授、浅井千絵講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_10.html,心理学と造形活動というのは、パラレルな２つの世界です。心理学も造形活動も、人(私)にとって世界がどのようにあるかを考え、私はなぜこのようにあるのかを考え、そしてどうすれば人に何かを伝えることができるのかについて考えるので、その意味で２つの領域の重なる部分は少なくありません。ところが、その方法がまるで違います。造形活動では、ある意味で現象学的に立ち現れている現実に対して葛藤して表現を行いますが、心理学は、還元論的に要素に分けて実験や調査を行い実証的に分析します。造形活動をしている人から見れば、造形活動が簡単に言葉にせずに大切に画面の中で表現していることを、心理学は簡単に言葉や数字に置き換えてしまって、それで扱える範囲で研究しているように見えるかもしれません。この授業のテーマはパラレルワールドを知ることです。造形に関わる心理学の研究を例に、還元論的に要素に分けて実験や調査で得られた知見から見た、世界、人、造形活動について学ぶことを通して、自らの視点を改めて理解するとともに、心理学的な考え方もできるようになることを目指します。
造形文化科目/文化総合科目,通年,色彩学,なし,江森敏夫講師、井上弘介講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_12.html,色彩学は英語では Science of Color といい、光学や生理学、心理学などの学問との関連が深く、“学際的”であるのが特徴である。学生の中には「色の勉強など必要ない。経験だけで十分だ」と考えている人がいるかもしれないが、「色とは何だろう？」という疑問に答えられる人はきわめて少ない。本講では、この疑問に答えるのに必要なさまざまの知識を学ぶ。たとえば、「色は光である」、「色は目ではなく脳で見るものである」、「色は情報である」、「色は数式で表せる」、「色は感情を操る」等々。そのために教科書を精読し、4 つの課題に取り組んでもらう。そして、通学生なら教室で聞き流すところを自分の目と手足を使って確かめ、その成果を報告してもらう。これにより、色に対する理解が深まり、色による表現力が向上することを期待したい。
造形文化科目/文化総合科目,通年,著作権法,なし,志田陽子教授、比良友佳理講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_14.html,この授業では、わたしたちが知っておくべき権利やルールのうち、とくに「表現」に関わる法律を具体的に学ぶ。この分野に属する法律は、憲法 21 条「表現の自由」とこれに関連する法律、また、著作権法をはじめとする知的財産権の分野の法律である。法学の分野について学習するためには、自分をとりまく社会を、問題意識をもって見ることが出発点となる。そしてその問題意識を、わたしたちに保障されたさまざまな「権利」や、民主的な制度や理念（公共性）と関連づけて考えることが必要となる。本授業では、具体的な問題について考えながら、こうした思考を実践することをめざす。
造形文化科目/文化総合科目,通年,音楽論,なし,白石美雪教授、丸山洋司講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_15.html,美術大学の学生にとって、音楽とはどのような存在であろうか。音楽を日々の生活の大切な友としている学生もいれば、あまり音楽に興味がない学生もいるだろう。「音楽論」の授業では、時代、国、ジャンルといった枠組みにとらわれることなく、「音楽とは何か」「声」「楽器」「音楽の伝え方」「音楽とパフォーマンス」「聴取とメディア」「音楽と想像力」「音楽を語る」「21 世紀における音楽の諸相」といった観点から音楽文化を広く見渡していく。音楽に親しんでいる学生は、これまでとは異なる音楽への視点を得て、自らの音楽観を一層深みのあるものにしていっていただきたい。あまり音楽に馴染みのない学生については、本科目履修が、音楽の世界の探究を始める切っ掛けになることを願う。
造形文化科目/文化総合科目,通年,数学,なし,正井秀俊准教授、嶺山良介講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_11.html,人間の精神と文化は、有史以来、パターンを捉え、その基本法則や性質を探求する思考体系を発展させて来た。その思考体系のひとつである数学は抽象的なパターンの科学である。このような現代的な認識に立って、数学的な見方や考え方とその重要性を身近な題材や馴染み深い図形を通して明らかにしていく。教科書では、数のパターンに関する実用的な話題と、形のパターンに関しては、私たちの思い込みによって 2000 年以上もの間異なる見解を許容することができなかった幾何学の歴史を背景に、それまでの幾何学的な見方からの自立として生まれた新しい幾何学、さらに複雑な自然を捉えようとする現代的な幾何学のひとつを取りあげた。一方で、数学の言葉で語られる概念を理解するには、時には単調な基礎的訓練も必要である。Task（タスク）と呼ぶ実技を含む問題演習によって、テーマに関心を持ち、理解を深めることができるよう手引きした。
造形文化科目/文化総合科目,通年,生物学,なし,伊藤海講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_16.html,「生物学」には、幅広い分野の学問が含まれている。高等学校理科教育の生物では、遺伝学、生理学、植物学などを網羅的に勉強する。本大学は美術大学である。そのため、この授業では、生物の体の「かたち」について学ぶ。生物学の中でも特に、解剖学と比較形態学に焦点をあてる。ヒトと動物のからだのしくみを比べ、これらがどのようにして進化してきたかを学ぶことで、からだについての認識を深めることを目的とする。私達の祖先となる生物は基本的な構造を変化させることなく、わずかな改変を積み重ねることで、様々な生物へと進化した。我々もそのさまざまな生物の一種である。この授業で使用する教科書「ヒトのなかの魚、魚のなかのヒト」では、魚類からヒトが誕生するまでの進化の経緯が解りやすく説明されている。自分のからだを教材にしながら、解剖学や形態学を通して、からだのかたちについての理解を深めてほしい。
造形文化科目/文化総合科目,通年,物理学,なし,川崎雅裕講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_17.html,私たちの周りには、様々な興味深い自然現象があり、一見するとそれらがどうして起こるのか不思議に思うことが多くあります。なぜ空は青いのか、なぜ夕日は赤いのかなどの日常生活の中で感じる多くの疑問、さらには、物質は何でできているのかといった深く物事を考えることによって持つ疑問、それらの疑問に答えるのが物理学です。物理学は自然現象を記述する最も基本的な学問として発展してきました。物理学の魅力は少数の基本的な法則から驚くほど様々な現象が理解できることです。例えばニュートンの 3 つの基本法則はたった数行の文章または数式を使って書くことができますが、これによって太陽系の惑星の運動などあらゆる物体の運動を正確に予言することができます。物理学は実験あるいは観測によってその正しさを確かめていく科学で、実験によって新しい発見があればそれを説明する理論が構築さて、さらにその理論が新しい現象を予言する。そして、実験がその予言が正しいかどうか確かめるといったように実験と理論がキャッチボールをするようにして発展していくのが物理学です。このような物理学の基本的な手法や考え方を理解することがこの科目の目標です。具体的には、ニュートンの法則、光や音の性質、電気と磁気などに関して学びます。
造形文化科目/文化総合科目,通年,自然科学概論,なし,川崎雅裕講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_18.html,人間は大昔から夜空を眺めそこにある星や銀河の美しさや壮大さに感動し、宇宙はどうやって始まったのか、宇宙の果てはどうなっているのか、宇宙は将来どうなっていくのか、といったことを考えてきた。このように宇宙は身近でありながら深遠で謎めいたものとして私たちの好奇心を刺激してくれるものです。宇宙創世の理論は古代では神話として人間の想像力のみを用いて考えられてきましたが、ようやく 17 世紀になって望遠鏡を用いた観測が行われるようになり、宇宙は自然科学の対象として学問的に研究が行われるようになりました。近年における宇宙論の発展は目を見張るものがあり、誕生間もない時期から現在に至るまでの宇宙の進化が物理法則に基づいて理解されるようになってきました。この科目では自然科学の中でもっとも古くから人々を魅了してきた宇宙論を学ぶことによって、自然科学の手法や考え方、科学的発見に至る科学者たちの努力を知ってほしい。具体的な内容は、宇宙膨張、宇宙を満たしている光である宇宙背景放射、宇宙の最初の 3 分間に起こる元素の合成などを学ぶ。
造形文化科目/文化総合科目,通年,英語 Ⅰ,なし,野口克洋教授、相原優子教授、トーマス・G・マイヤー教授、小澤智子教授、水谷明子講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_199.html,教科書として Rosemary Davidson の What is Art ?（Oxford University Press）を使用する。この書は読者に美術・デザインの作品を見たり、考えたり、制作したり、発見したりするための指針を分かりやすく与えようと書かれたものである。この教科書を用いることによって、英語の基礎力の充実をはかるとともに、英語を通じて一般教養を身につけ、あわせて専門分野で必要となる美術・デザイン関係の書を英語で読む学力を養うことをめざす。
造形文化科目/文化総合科目,通年,英語 Ⅱ,なし,野口克洋教授、相原優子教授、トーマス・G・マイヤー教授、小澤智子教授、水谷明子講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_200.html,教科書として Rosemary Davidson の What is Art ? （Oxford University Press） を使用する。この書は読者に美術・デザインの作品を見たり、考えたり、制作したり、発見したりするための指針を分かりやすく与えようと書かれたものである。この教科書を用いることによって、英語の基礎力の充実をはかるとともに、英語を通じて一般教養を身につけ、あわせて専門分野で必要となる美術・デザイン関係の書を英語で読む学力を養うことをめざす。
造形文化科目/文化総合科目,通年,フランス語初級,なし,藤田尊潮教授、今村純子講師、藤田祐子講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_203.html,初めてフランス語を学ぶ学生を対象に初級文法の習得と日常会話の練習を主な目的としたフランス語入門の授業です。教科書には『パリのミュゼでフランス語！』を使用します。芸術の都パリには、その名の通り数多くの美術館があります。世界的に有名なルーブルやオルセー美術館、ポンピドゥーセンター内の国立近代美術館、ピカソ美術館、クリュニー美術館、また生前の芸術家の住まいやアトリエを改造したロダン、モロー、ザッキンなどの個性的な美術館もあります。この授業は、そのようなパリの美術館紹介を通してフランス語を学べるようにという意図で開設されています。フランス語の発音とつづり字の読み方の基本から始めて文法の規則を少しづつ学び、同時に、実際にパリの美術館を訪れたときに役に立つ会話の練習をしていきます。
造形文化科目/文化総合科目,通年,フランス語中級,なし,藤田尊潮教授、今村純子講師、藤田祐子講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_204.html,「フランス語初級」の学習を終えた学生を対象に、初級文法の完成とフランス語で書かれたテキストの読解力を養うことを目的とした授業です。教科書は『星の王子さまの教科書』を使用します。『星の王子さま』が優れた文学作品であることは、誰もが承知のことと思いますが、その美しいフランス語のテキストは、同時にフランス語文法を学ぶ上で格好の教材なのです。基礎的なフランス語の文法事項は、ほとんど網羅されていると言ってよいでしょう。教科書は、『星の王子さま』のテキストの抜粋と、初級文法の教科書では学びきれなかった難度の高い文法事項の解説、そして練習問題から構成されています。教科書には、CD が付属されており、練習問題の中にも聞き取り問題がありますから、何度も繰り返し聞くことによって、フランス語の発音に対する感性も磨かれていくことでしょう。
造形文化科目/文化総合科目,通年,フランス語上級,なし,藤田尊潮教授、藤田祐子講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_205.html,"原文で美術関係の文献を読むことによって、フランス語の読解力を養うとともに 20 世紀美術界の大きな流れを理解する手がかりにしたいと思います。教科書は『マン・レイ「インタビュー」』を使用します。この本は、Man Ray, Ce que je suis et autres textes （Paris, Hoebeke, 1998）から «L’interview de　camera» という章を抜粋し編集したものです。この教科書の中でマン・レイはあるときは皮肉っぽく、またあるときはユーモアに富んでいて、まさに彼の作品を彷彿とさせるようなさまざまな表情を見せています。彼のことばに接することによって、私たちは 20 世紀美術という大きな流れの一端に触れることができるでしょう。文章はおおむね平易ですし、巻末には詳細な注が付けられていますから、フランス語の初級文法を習得した学生なら辞書を使って読み進めることができると思います。ともかく、一年間で一冊を読み上げてみましょう。"
造形文化科目/文化総合科目,通年,健康と身体運動文化 Ⅰ,なし,青沼裕之教授、森敏生教授、北徹朗教授、服部由季夫講師、浅井泰詞講師、荻山幸子講師、鈴木タケル講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_211.html,健康と身体運動文化Ⅰには開講期間ごとに複数の種目が開講されている。各開講期間・種目の授業の概要と目標は添付ファイルを参照すること。
造形文化科目/文化総合科目,通年,健康と身体運動文化 Ⅱ,なし,青沼裕之教授、森敏生教授、北徹朗教授、服部由季夫講師、浅井泰詞講師、荻山幸子講師、鈴木タケル講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_212.html,健康と身体運動文化Ⅱには開講期間ごとに複数の種目が開講されている。各開講期間・種目の授業の概要と目標は添付ファイルを参照すること。
造形文化科目/文化総合科目,通年,健康と身体運動文化 Ⅲ,なし,青沼裕之教授、森敏生教授、北徹朗教授、服部由季夫講師、浅井泰詞講師、荻山幸子講師、鈴木タケル講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_213.html,健康と身体運動文化Ⅲには開講期間ごとに複数の種目が開講されている。各開講期間・種目の授業の概要と目標は添付ファイルを参照すること。
造形文化科目/文化総合科目,通年,健康と身体運動文化 Ⅳ,なし,青沼裕之教授、森敏生教授、北徹朗教授、服部由季夫講師、浅井泰詞講師、荻山幸子講師、鈴木タケル講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_214.html,健康と身体運動文化Ⅳには開講期間ごとに複数の種目が開講されている。各開講期間・種目の授業の概要と目標は添付ファイルを参照すること。
造形文化科目/文化総合科目,通年,健康と体力研究,なし,北徹朗教授,https://ccap02.musabi.ac.jp/syllabus/html/2025_19.html,この授業は、通信授業として位置づけられているが、授業の内容からして理論と実践の統一こそが課題であり目標である。この通信課題では、健康で活力ある人生を送るための基礎研究として、自分の身体や体力の現状を把握し、それに応じた生活習慣とは何かを考察することを目的とする。
造形文化科目/文化総合科目,通年,身体運動文化研究,なし,青沼裕之教授、森敏生教授,https://ccap02.musabi.ac.jp/syllabus/html/2025_202.html,私たちは様々な理由からスポーツを欲している。「健康やダイエットのため」「仲間との触れあいがほしい」「上達して気持ちよくプレーしたい」 等々。しかし、日本の地域社会の現状は、スポーツを愛好する国民の要求を十分に満たしうるにはほど遠い。地域差もあるだろうが、スポーツをする時間、施設、指導者等の客観的な条件が整っていないところが多く、要求があっても活動するまでにいたらないという声をよく聞く。そこで本講座では、スポーツの環境、国や自治体の政策、国民がスポーツを我がものとするための運動に視点を定めて、問題意識を深めるとともに上述した課題解決の方途を探ってみたい。
造形文化科目/文化総合科目,通年,美術の歴史と鑑賞,なし,三澤一実教授、杉浦幸子教授、足立圭准教授、林有維講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_164.html,学校の美術教育の現場では言語活動を中心とした鑑賞の授業の重要性が高まっている。また教育基本法や博物館法などの改正のなかで、美術館を含めた広範な場所で鑑賞教育の重要性もまた高まっている。そこでこの授業では、美術科教員、学芸員または美術の社会的普及を目指す立場の者が、古代から現代までの世界の美術の歴史についての基本的な知識を得て、さらに子どもから大人まで誰にでも開かれた美術鑑賞を担うことを目標とする。その際、特定の時代や地域に限定せず、日本の伝統美術やアジアを含めた世界的な美術の交流について、深い知識と実践につながる構想を持つ。
造形文化科目/文化総合科目,通年,日本美術史,なし,玉蟲敏子教授、坂本明子講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_20.html,生活の中で根付き、育まれてきた日本の造形の歴史を学びます。まず絵画作品を中心に学習し、そこから更に、彫刻や工芸にも視野を広げてほしいと思います。造形作品には常にそれぞれ固有の価値があると共に、製作者の存在や受容者の意識、社会的な機能・用途があり、更にそれを生み出した時代的、文化的な背景をめぐる問題があります。複数の視点から作品をじっくりみつめ、日本の造形文化を深く理解して頂きたいと思います。加えて学習の過程で感じた事柄などを生かし、受講者の視点がレポートなどの文中にも積極的に盛り込まれることを期待します。
造形文化科目/文化総合科目,通年,東洋美術史,なし,奥健夫教授、稲葉秀朗講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_21.html,「東洋美術史」は、現存するか否かを問わず、膨大にして多様な東洋美術の諸例を歴史的視座から究明していく美術史学の一分野である。なお、本科目にいう「東洋」は、おおむね南アジア、中央アジア、東南アジア、東アジアを含む諸地域とし、西アジアは除く。また、「東洋美術」の対象は、こうした諸地域において制作ないし建造された、絵画、彫塑、各種工芸（陶芸、ガラス工芸、染織、木工、金工など）、書といった造形作例および建築、建築址、石窟などの遺構とする。本科目では２件の課題を通じて、長い歴史のなか、上掲のような広範な地域において展開した人々の美術造形にまつわる諸々の営みを把握すると共に、作例に対する自分なりの「問い」を立て、自分の力で調べ、その問いに対する見解をまとめることを目指す。そして、一連の過程で東洋美術に対する解像度を高め、自分なりの東洋美術史観を涵養することを目標とする。
造形文化科目/文化総合科目,通年,西洋美術史 Ⅰ,なし,北澤洋子教授、三浦香里講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_22.html,西洋美術史は、古今の美術作品に触れ、様々な文化と造形表現、創造のありように対する理解を深めることを目的とする。この科目では、紀元前 4 千年紀から 15 世紀までの、古代・中世の美術史を取り扱う。四大文明、地中海文明の成立から古典古代様式という西洋美術の根幹となる規範の確立を経て、キリスト教や他民族の文化の融合によって西洋文明の伝統がいかにして形成されてゆくかを考える。特に、絵画や彫刻に加え建築や工芸の代表作に触れながら、形と意味、物の見方が歴史的にどのように継承されたり、移り変わったりしたのか理解することに努めることになろう。
造形文化科目/文化総合科目,通年,西洋美術史 Ⅱ,なし,北澤洋子教授、三浦香里講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_23.html,この授業では、西洋におけるルネサンスから現代に至る美術の歴史を学ぶ。具体的には、15 世紀から 20 世紀までのさまざまな芸術の潮流や運動の特徴について、作家や作品に即しながら理解することを目的とする。とはいえ、芸術を独立した現象として捉えるのではなく、それぞれの芸術様式が独立した時代背景を考慮しつつ、その社会的な役割についても理解を深めたい。また、単に教科書や参考文献で得られた知識を整理・羅列することで満足するのではなく、自分自身の眼で画集の図版や実際の作品をじっくりと鑑賞することによって、それらの知識に肉づけをしていくことをも重視する。いわば知性と感性の両面から、西洋美術の流れを多角的に理解することを目指したい。
造形文化科目/文化総合科目,通年,建築史,なし,足立純子講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_24.html,ヨーロッパを中心とした建築と都市の歴史を、古代から中世、さらには近世から初期近代にわたって通観する。建築の様式や変遷を単にたどるだけではなく、それぞれの時代に特有の社会や経済、そして文化を生み出してきた人類の歴史のなかで、建築や都市は、どのような役割を果たし、どのように変化と発展を遂げてきたかを、各時代において考察していく。そうした学習によって、建築における機能、構造、材料、美学などの時代による変化を理解し、それぞれの地域風土の差異によって生まれた建築様式の多彩な変貌と展開の跡をたどることを目標としたい。
造形文化科目/文化総合科目,通年,デザイン史,なし,木田拓也教授、敷田弘子講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_25.html,産業革命以降の近代社会において、モノのデザインは人とどう関わることになったのか。いわゆる近代デザインの運動が新しい産業社会に対して様々なアプローチを試みる一方で、消費社会には膨大なモノが氾濫し、人々の欲望を喚起させてきた。単なるデザイナーやその作品の理解にとどまらない幅広いデザイン認識の中で 19 ～ 20 世紀という時代背景を理解しながら、デザインが人々の日常生活をどのように変えていったのか、その歴史を学ぶ。
